"TIME","GEO","SIEC","PARTNER","UNIT","Value","Flag and Footnotes"
"2011","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","283.117,377",""
"2011","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","344.541,377",""
"2011","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","240.163,377",""
"2011","Belgium","Oil and petroleum products","Total","Thousand tonnes","24.267,000",""
"2011","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","3.539,000",""
"2011","Czechia","Oil and petroleum products","Total","Thousand tonnes","1.592,000",""
"2011","Denmark","Oil and petroleum products","Total","Thousand tonnes","13.179,000",""
"2011","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","18.410,000",""
"2011","Estonia","Oil and petroleum products","Total","Thousand tonnes","432,000",""
"2011","Ireland","Oil and petroleum products","Total","Thousand tonnes","1.629,000",""
"2011","Greece","Oil and petroleum products","Total","Thousand tonnes","9.564,000",""
"2011","Spain","Oil and petroleum products","Total","Thousand tonnes","13.054,000",""
"2011","France","Oil and petroleum products","Total","Thousand tonnes","21.367,000",""
"2011","Croatia","Oil and petroleum products","Total","Thousand tonnes","1.572,000",""
"2011","Italy","Oil and petroleum products","Total","Thousand tonnes","27.068,000",""
"2011","Cyprus","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2011","Latvia","Oil and petroleum products","Total","Thousand tonnes","457,000",""
"2011","Lithuania","Oil and petroleum products","Total","Thousand tonnes","7.827,000",""
"2011","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","6,333",""
"2011","Hungary","Oil and petroleum products","Total","Thousand tonnes","2.985,000",""
"2011","Malta","Oil and petroleum products","Total","Thousand tonnes","3,000",""
"2011","Netherlands","Oil and petroleum products","Total","Thousand tonnes","99.112,273",""
"2011","Austria","Oil and petroleum products","Total","Thousand tonnes","2.278,771",""
"2011","Poland","Oil and petroleum products","Total","Thousand tonnes","4.872,000",""
"2011","Portugal","Oil and petroleum products","Total","Thousand tonnes","2.856,000",""
"2011","Romania","Oil and petroleum products","Total","Thousand tonnes","3.708,000",""
"2011","Slovenia","Oil and petroleum products","Total","Thousand tonnes","710,000",""
"2011","Slovakia","Oil and petroleum products","Total","Thousand tonnes","3.938,000",""
"2011","Finland","Oil and petroleum products","Total","Thousand tonnes","7.184,000",""
"2011","Sweden","Oil and petroleum products","Total","Thousand tonnes","11.507,000",""
"2011","Iceland","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2011","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes",":",""
"2011","Norway","Oil and petroleum products","Total","Thousand tonnes","87.718,000",""
"2011","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","61.424,000",""
"2011","Montenegro","Oil and petroleum products","Total","Thousand tonnes","15,000",""
"2011","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","383,000",""
"2011","Albania","Oil and petroleum products","Total","Thousand tonnes","800,000",""
"2011","Serbia","Oil and petroleum products","Total","Thousand tonnes","284,000",""
"2011","Turkey","Oil and petroleum products","Total","Thousand tonnes","7.365,000",""
"2011","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes",":",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2011","Moldova","Oil and petroleum products","Total","Thousand tonnes","15,000",""
"2011","Ukraine","Oil and petroleum products","Total","Thousand tonnes","4.183,000",""
"2011","Georgia","Oil and petroleum products","Total","Thousand tonnes",":",""
"2012","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","304.678,910",""
"2012","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","365.528,910",""
"2012","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","259.051,910",""
"2012","Belgium","Oil and petroleum products","Total","Thousand tonnes","26.767,000",""
"2012","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","4.130,000",""
"2012","Czechia","Oil and petroleum products","Total","Thousand tonnes","1.706,000",""
"2012","Denmark","Oil and petroleum products","Total","Thousand tonnes","12.553,000",""
"2012","Germany (until 1990 former territory of the FRG)","Oil and petroleum products","Total","Thousand tonnes","18.882,000",""
"2012","Estonia","Oil and petroleum products","Total","Thousand tonnes","1.336,000",""
"2012","Ireland","Oil and petroleum products","Total","Thousand tonnes","1.772,000",""
"2012","Greece","Oil and petroleum products","Total","Thousand tonnes","12.407,000",""
"2012","Spain","Oil and petroleum products","Total","Thousand tonnes","19.539,000",""
"2012","France","Oil and petroleum products","Total","Thousand tonnes","19.787,000",""
"2012","Croatia","Oil and petroleum products","Total","Thousand tonnes","1.554,000",""
"2012","Italy","Oil and petroleum products","Total","Thousand tonnes","29.862,000",""
"2012","Cyprus","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2012","Latvia","Oil and petroleum products","Total","Thousand tonnes","517,000",""
"2012","Lithuania","Oil and petroleum products","Total","Thousand tonnes","7.681,000",""
"2012","Luxembourg","Oil and petroleum products","Total","Thousand tonnes","9,133",""
"2012","Hungary","Oil and petroleum products","Total","Thousand tonnes","2.887,000",""
"2012","Malta","Oil and petroleum products","Total","Thousand tonnes","8,000",""
"2012","Netherlands","Oil and petroleum products","Total","Thousand tonnes","102.351,000",""
"2012","Austria","Oil and petroleum products","Total","Thousand tonnes","2.503,777",""
"2012","Poland","Oil and petroleum products","Total","Thousand tonnes","5.982,000",""
"2012","Portugal","Oil and petroleum products","Total","Thousand tonnes","3.703,000",""
"2012","Romania","Oil and petroleum products","Total","Thousand tonnes","3.407,000",""
"2012","Slovenia","Oil and petroleum products","Total","Thousand tonnes","812,000",""
"2012","Slovakia","Oil and petroleum products","Total","Thousand tonnes","3.518,000",""
"2012","Finland","Oil and petroleum products","Total","Thousand tonnes","7.597,000",""
"2012","Sweden","Oil and petroleum products","Total","Thousand tonnes","13.408,000",""
"2012","Iceland","Oil and petroleum products","Total","Thousand tonnes","0,000",""
"2012","Liechtenstein","Oil and petroleum products","Total","Thousand tonnes",":",""
"2012","Norway","Oil and petroleum products","Total","Thousand tonnes","80.033,000",""
"2012","United Kingdom","Oil and petroleum products","Total","Thousand tonnes","60.850,000",""
"2012","Montenegro","Oil and petroleum products","Total","Thousand tonnes","12,000",""
"2012","North Macedonia","Oil and petroleum products","Total","Thousand tonnes","274,000",""
"2012","Albania","Oil and petroleum products","Total","Thousand tonnes","977,000",""
"2012","Serbia","Oil and petroleum products","Total","Thousand tonnes","292,000",""
"2012","Turkey","Oil and petroleum products","Total","Thousand tonnes","7.626,000",""
"2012","Bosnia and Herzegovina","Oil and petroleum products","Total","Thousand tonnes",":",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Oil and petroleum products","Total","Thousand tonnes","1,000",""
"2012","Moldova","Oil and petroleum products","Total","Thousand tonnes","18,000",""
"2012","Ukraine","Oil and petroleum products","Total","Thousand tonnes","1.725,000",""
"2012","Georgia","Oil and petroleum products","Total","Thousand tonnes",":",""
"2013","European Union - 27 countries (from 2020)","Oil and petroleum products","Total","Thousand tonnes","307.419,260",""
"2013","European Union - 28 countries (2013-2020)","Oil and petroleum products","Total","Thousand tonnes","367.423,260",""
"2013","Euro area - 19 countries  (from 2015)","Oil and petroleum products","Total","Thousand tonnes","262.587,260",""
"2013","Belgium","Oil and petroleum products","Total","Thousand tonnes","27.328,000",""
"2013","Bulgaria","Oil and petroleum products","Total","Thousand tonnes","4.430,000",""
